长得好看才叫海王 像你这种只能叫水鬼,1
你父母是做化学的吗 你看起来像试验品诶,1
大家都是炎黄子孙 怎么就你是天生地养的呢,1
感觉你的智商和脐带一起剪断了   ,1
我至今无法相信,1
你会是数亿万个精子里跑的最快的,1
你是数字界和英文界的二把手,1
当我还试图在你身上寻找美的时候,1
我就彻底绝望了,1
我的眼睛不是染缸 装不下你的各种脸色,1
是下水道的黑暗 造就了您不懂礼数的浅薄,1
说话这么好听 上完厕所一定擦过嘴了叭,1
僵尸兴奋地打开你的头盖骨,1
失望地走开了 旁边的屎壳郎眼前一亮,1
我想打电话给你聊聊三观,1
哈哈哈开玩笑的 我哪有时间 你哪有三观,1
草船上借的不就是你吗,1
你长得就和二维码似的,1
不扫一扫还真不知道是个什么东西,1
你长得很有考古价值啊,1
真的期待您全家在奈何桥畔表演千手观音的春晚直播,1
你找兄弟姐妹得去动物园 甚至要离开地球,1
现在男的长的越来越祸国殃民了,1
有头在空中飞得口吐白沫的牛,1
要我帮它下来 唯一的方法是让你闭上嘴,1
我有了孩子必须让你教他 还要教他历史,1
看一眼你的脸 中华五千年全记住了,1
我喜欢的东西很俗 但确实能让我快乐,1
你也很俗 但你不是个东西,1
公主发脾气才叫公主病 你那叫什么,1
你那叫野鸡情绪失控综合症,1
好看的女孩互相欣赏 丑陋的猪精才嫉妒,1
你俩真般配 看来月老的垃圾分类挺到位的,1
听你说话 一种智商上的优越感油然而生,1
有时间去多晒晒太阳 做做美黑,1
然后去动物园看看缺不缺猩猩吧,1
大清都亡了怎么还有太监呢,1
我怎么敢碰你呢 我怕我买洗手液买穷自己,1
你瞅你跟个斑马脑袋似的头头是道,1
臭泥鳅沾点海水还真把自己当海鲜了,1
您抓周拿到的是键盘吗,1
您上辈子是缝纫机吗 这么会拉踩,1
现在的手机这么智能吗 猪都能拱字了,1
两块钱的尺子都有二十厘米 你有吗,1
豆腐都有脑 你却没有,1
小嘴抹了开塞露似的 老往外喷,1
我有密集恐惧症 不能接近心眼子多的人,1
您是不是这几天肠胃不好把脑子给拉出来了,1
你是亚里士多德的妹妹珍妮玛士多吗,1
不会聊天就不要聊了,1
我撒把米到键盘上鸡都啄得比你会说话,1
请问你是秋高吗 我都被你气爽了,1
你可真是癞蛤蟆装小青蛙 长得丑玩的花,1
人类进化的时候你是躲起来了吗,1
你象棋下得挺好的吧 看你马后炮挺在行的,1
用一句话形容你吧 人面不知何处去,1
说话这么毒，你前男友尿毒症吧。,1
多照照镜子，很多事情你就明白原因了。,1
我看你像上个世纪七十年代的美国经济。,1
装了GPS吗，清楚自己的定位吗?,1
你好，蒙娜丽莎的姐姐“珍妮玛莎”。,1
认识的人多了，突然觉得狗也很可爱。,1
原来身残志坚就是您这个模样，受教了。,1
你那张大脸涂口红，好像那个煎饼果子刷大酱。,1
愿你吃饭有人喂，走路有人推。,1
你三观很正，就可惜五官不行。,1
看你说话的逻辑，直肠通大脑吧。,1
真羡慕你的皮肤，保养的这么厚。,1
我看你像上个世纪七十年代的美国经济。,1
百度搜不到你，搜狗一定能搜到。,1
你自从得了神经病，整个人都精神多了!,1
有病你治病，你别找我啊，我又不是兽医。,1
这位妹妹可有上过学，现吃什么药。,1
人类进化的时候你躲起来了吧。,1
脑袋不用，留着当遗产吗,1
你是什么牌子塑料袋，这么能装,1
